Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,loss
25-Jul-17,Florida,Jacksonville,1040 Golfair Boulevard,1,3,N/A,4
23-Jul-17,Illinois,Chicago,1500 block of East 82nd St,1,3,N/A,4
23-Jul-17,Louisiana,Baton Rouge,10360 Ave H,0,4,N/A,4
22-Jul-17,Ohio,Cincinnati,130 E Clifton Ave,0,5,N/A,5
19-Jul-17,Virginia,Richmond,2300 block of Bethel St,0,5,N/A,5
19-Jul-17,California,Los Angeles,Imperial Hwy and Broadway,1,3,N/A,4
18-Jul-17,New Jersey,Trenton,Hewitt St and Division St,1,3,N/A,4
18-Jul-17,Wisconsin,Milwaukee,3000 Block of N 39th St,0,4,N/A,4
18-Jul-17,Arizona,El Mirage,NW Grand Ave and W Thunderbird Rd,0,4,N/A,4
15-Jul-17,Pennsylvania,Philadelphia,21st and Fitzwater,1,3,N/A,4
15-Jul-17,Illinois,Chicago,12200 block of S Throop St,0,4,N/A,4
9-Jul-17,Virginia,Lawrenceville,500 block Sturgeon Rd,0,7,N/A,7
8-Jul-17,Illinois,Alton,700 block of Oakwood,0,4,N/A,4
8-Jul-17,Ohio,Cincinnati,9917 Capstan Dr,1,8,N/A,9
6-Jul-17,Mississippi,Meridian,Eighth Ave,0,4,N/A,4
5-Jul-17,Georgia,Savannah,Jefferson Street and West St. Julian Street,0,4,N/A,4
5-Jul-17,Illinois,Chicago (Roseland),11000 block of S Eberhart,2,2,N/A,4
5-Jul-17,Maine,Madison,300 block of Russell Rd,4,1,N/A,5
4-Jul-17,Florida,Orlando (Pine Castle),501 W Lancaster Rd,0,4,N/A,4
4-Jul-17,Virginia,Hampton,500 block of Patterson Ave,1,4,N/A,5
4-Jul-17,North Carolina,Raleigh,105 E South St,1,3,N/A,4
3-Jul-17,Alabama,Prattville,112 US 82,3,1,N/A,4
3-Jul-17,Michigan,Pontiac,50 block of Thorpe St,1,3,N/A,4
2-Jul-17,New Jersey,Jersey City,Wilkinson Avenue,0,4,N/A,4
2-Jul-17,South Carolina,Greenwood,SC 72 Bypass,0,4,N/A,4
1-Jul-17,Illinois,Momence,2727 S 13000 Rd E,0,4,N/A,4
1-Jul-17,New Jersey,Newark,Lincoln Park and Pennsylvania Avenue,2,2,N/A,4
1-Jul-17,California,Oakland,3200 Humboldt Ave,0,4,N/A,4
1-Jul-17,Arkansas,Little Rock,220 W 6th St,0,25,N/A,25
30-Jun-17,New York,Bronx,1650 Grand Concourse,2,6,N/A,8
27-Jun-17,Illinois,Chicago,200 block of S Lotus,0,5,N/A,5
25-Jun-17,District of Columbia,Washington,5900 block of Southern Ave SE,0,4,N/A,4
25-Jun-17,Missouri,Saint Louis,5000 block of Thekla Ave,1,3,N/A,4
24-Jun-17,Florida,Fort Lauderdale,2335 NW 16th Ct,1,4,N/A,5
24-Jun-17,New York,New York (Manhattan),114th St and Manhattan Ave,0,5,N/A,5
24-Jun-17,New Jersey,Willingboro,Pastoral Lane,0,4,N/A,4
22-Jun-17,Georgia,Atlanta,1100 block of Osborne Street,1,6,N/A,7
18-Jun-17,Missouri,Saint Louis,1900 block of N 14th St,3,2,N/A,5
18-Jun-17,District of Columbia,Washington,3100 block of Buena Vista Terrace SE,0,4,N/A,4
18-Jun-17,Illinois,Chicago,3300 block of W Crystal St,0,4,N/A,4
18-Jun-17,South Carolina,Myrtle Beach,311 N Ocean Blvd,0,7,N/A,7
17-Jun-17,Ohio,Columbus,6252 Busch Blvd,1,4,N/A,5
17-Jun-17,Illinois,Chicago,1 block of North Latrobe,0,4,N/A,4
15-Jun-17,Virginia,Richmond,4053 Old Brook Road,1,3,N/A,4
15-Jun-17,New Mexico,La Madera,491 NM 111,5,0,N/A,5
14-Jun-17,Ohio,Canton,14th St. NE and Gibbs Ave. NE,0,4,N/A,4
14-Jun-17,Virginia,Alexandria,420 E Monroe Ave,1,5,N/A,6
14-Jun-17,California,San Francisco,720 San Bruno,4,2,N/A,6
13-Jun-17,Maryland,Baltimore,3300 block of Ayrdale Avenue,0,4,N/A,4
13-Jun-17,Maryland,Baltimore,1200 block of Bonaparte Avenue,2,2,N/A,4
13-Jun-17,Missouri,Saint Louis (University City),Ferguson Ave and Plymouth Ave,0,4,N/A,4
11-Jun-17,Illinois,Chicago,3300 block of W Douglas Blvd,0,9,N/A,9
11-Jun-17,Tennessee,Chattanooga,4272 Bonny Oaks Drive,0,4,N/A,4
11-Jun-17,Texas,Houston,505 Cypress Station Dr,0,4,N/A,4
10-Jun-17,Tennessee,Memphis,571 East Street,0,4,N/A,4
9-Jun-17,Texas,Fort Worth,East Davis Avenue and New York Avenue,2,5,N/A,7
8-Jun-17,Louisiana,New Orleans,3650 Franklin Ave,0,6,N/A,6
6-Jun-17,Utah,Sandy,2232 Alta Canyon Drive,3,2,N/A,5
5-Jun-17,Florida,Orlando,2427 Forsyth Rd,6,0,N/A,6
3-Jun-17,Missouri,Saint Louis,1600 Block of Union Blvd,2,2,N/A,4
3-Jun-17,Louisiana,New Orleans,3717 Tulane Ave,3,2,N/A,5
2-Jun-17,Texas,Laredo,5301 McPherson Rd,2,3,N/A,5
2-Jun-17,California,Los Angeles,89th St and Broadway,1,3,N/A,4
1-Jun-17,Missouri,Saint Louis,Beacon Ave and Lillian Ave,3,1,N/A,4
30-May-17,Ohio,Middletown,1200 Elliott Dr,1,3,N/A,4
29-May-17,Kentucky,Louisville,231 Witherspoon St,1,3,N/A,4
